Dimension;Synonyms;Synonyms_adjusted
Strategy;strategy management;strategy management
Strategy;resource allocation;resource allocation
Strategy;collaboration;collaboration
Strategy;strategy map;strategy map
Strategy;value chain;value chain
Strategy;industrial chain;industrial chain
Strategy;industrial chain analysis;industrial chain analysis
Strategy;business chain;business chain
Strategy;whole industry chain;whole industry chain
Strategy;supply chain;supply chain
Strategy;product chain;product chain
Strategy;upstream and downstream;upstream
Strategy;upstream and downstream;downstream
Strategy;production chain;production chain
Strategy;ecosphere;ecosphere
Strategy;full value chain;full value chain
Strategy;corporate life cycle;corporate life cycle
Strategy;customer value;customer value
Strategy;business model;business model
Strategy;development mode;development mode
Strategy;resource integration;resource integration
Strategy;develop in depth;develop in depth
Strategy;product line;product line
Strategy;coordinated development;coordinated development
Strategy;business plan;business plan
Strategy;quality objectives;quality objectives
Strategy;strategic planning;strategic planning
Strategy;organisational objectives;organisational objectives
Strategy;work plan;work plan
Strategy;goal programming;goal programming
Strategy;operation plan;operation plan
Strategy;strategic development;strategic development
Strategy;strategic decision;strategic decision
Strategy;brand management;brand management
Strategy;cultural construction;cultural construction
Strategy;organisational change;organisational change
Budget;budget management;budget management
Budget;budgeting;budgeting
Budget;operation budget;operation budget
Budget;specialised budget;specialised budget
Budget;financial budget;financial budget
Budget;comprehensive budget;comprehensive budget
Budget;rolling budget;rolling budget
Budget;zero based budget;zero based budgeting
Budget;flexible budget;flexible budget
Budget;activity based budget;activity based budget
Budget;dynamic budget;dynamic budget
Budget;expense budget;expense budget
Budget;incremental budget;incremental budget
Budget;cost budget;cost budget
Budget;comprehensive budget management;comprehensive budget management
Budget;budget control;budget control
Budget;budget assessment;budget assessment
Budget;planned budget;planned budget
Budget;capital plan management;capital plan management
Budget;budget analysis;budget analysis
Budget;capital budget management;capital budget management
Budget;quota management;quota management
Budget;budget plan;budget plan
Budget;departmental budget;departmental budget
Budget;budget system;budget system
Budget;expenditure budget;expenditure budget
Budget;operating budget;operating budget
Budget;company budget;company budget
Budget;cash budget;cash budget
Budget;capital budget;capital budget
Budget;total cost accounting;total cost accounting
Budget;responsibility budget;responsibility budget
Cost;cost management;cost management
Cost;costing;costing
Cost;target costing;target costing
Cost;standard costing;standard costing
Cost;variable costing;variable costing
Cost;activity based cost management;costing method
Cost;life cycle;life cycle
Cost;cost forecasting;cost forecasting
Cost;cost planning;cost planning
Cost;cost control;cost control
Cost;cost accounting;cost accounting
Cost;variable cost;variable cost
Cost;activity based costing;activity based costing
Cost;cost analysis;cost analysis
Cost;cost evaluation;cost evaluation
Cost;straight line amortisation method;straight line amortisation method
Cost;replacement cost;replacement cost
Cost;historical cost;historical cost
Cost;historical cost method;historical cost method
Cost;fine management;fine management
Cost;expense control;expense control
Cost;cost reducing and efficiency increasing;cost reducing
Cost;cost reducing and efficiency increasing;cost reduction
Cost;cost reducing and efficiency increasing;efficiency increasing
Cost;cost reducing and efficiency increasing;efficiency increase
Cost;process control;process control
Cost;lean management;lean management
Cost;basic management;basic management
Cost;objective management;objective management
Cost;cost budgeting;cost budgeting
Cost;inventory management;inventory management
Cost;revenue increasing and expenses reducing;expense reducing
Cost;revenue increasing and expenses reducing;expense reduction
Cost;stock management;stock management
Cost;scientific management;scientific management
Cost;increasing income and reducing expenditures;reducing expenditures
Cost;increasing income and reducing expenditures;reduce expenditure
Cost;increasing income and reducing expenditures;reduce expenditures
Cost;quality cost;quality cost
Cost;scheduled cost;scheduled cost
Cost;standard cost;standard cost
Cost;equivalent yield;equivalent yield
Cost;target cost;target cost
Cost;cost indicator;cost indicator
Cost;project cost;project cost
Cost;dynamic cost;dynamic cost
Cost;goal management;goal management
Cost;project cost budgeting;project cost budgeting
Cost;internal cost;internal cost
Cost;budgeted cost;budgeted cost
Cost;cost responsibility;cost responsibility
Cost;cost of design;cost of design
Cost;cost standard;cost standard
Operations;operations management;operations management
Operations;valuation added;valuation added
Operations;cost volume profit analysis;cost volume profit analysis
Operations;sensitivity analysis;sensitivity analysis
Operations;marginal analysis;marginal analysis
Operations;benchmarking;benchmarking
Operations;quantitative analysis;quantitative analysis
Operations;impact analysis;impact analysis
Operations;sensitivity;sensitivity
Operations;rate of change;rate of change
Operations;interest rate changes;interest rate changes
Operations;price changes;price changes
Operations;regression analysis;regression analysis
Operations;factor analysis;factor analysis
Operations;forecasting;forecasting
Operations;liquidity analysis;liquidity analysis
Operations;benchmarking management;benchmarking management
Operations;total quality management;total quality management
Operations;comprehensive quality management;comprehensive quality management
Operations;amoeba;amoeba
Operations;six sigma;six sigma
Operations;lean thinking;lean thinking
Operations;science management;science management
Operations;profit rate;profit rate
Operations;marginal contribution;marginal contribution
Operations;operate;operate
Operations;operation management;operation management
Operations;project management;project management
Operations;operation;operation
Operations;operation control;operation control
Operations;information management;information management
Operations;business operation;business operation
Operations;operation maintenance;operation maintenance
Operations;business management;business management
Investment;investment management;investment management
Investment;financing management;financing management
Investment;discounted cash flow;discounted cash flow
Investment;scenario analysis;scenario analysis
Investment;constrained resources optimisation;constrained resources optimisation
Investment;investment consulting;investment consulting
Investment;venture capital;venture capital
Investment;industrial investment;industrial investment
Investment;capital management;capital management
Investment;investment centre;investment centre
Investment;investment management institutions;investment management institutions
Investment;capital investment;capital investment
Investment;fund management institutions;fund management institutions
Investment;financing investment;financing investment
Investment;international investment;international investment
Investment;investment funds;investment funds
Investment;venture;venture
Investment;industry;industry
Investment;invest;invest
Investment;financing;financing
Investment;crowdfunding;crowdfunding
Investment;fund management;fund management
Investment;fundraising;fundraising
Investment;capital operation management;capital operation management
Investment;fund plan management;fund plan management
Investment;fund control;fund control
Investment;capital operation;capital operation
Investment;decision management;decision management
Investment;financial management;financial management
Investment;securities management;securities management
Investment;cash management;cash management
Investment;management of investment in securities;management investment securities
Investment;capital operating;capital operating
Investment;liquidity management;liquidity management
Investment;capital dispatch;capital dispatch
Investment;contract management;contract management
Investment;organisation management;organisation management
Investment;project operation;project operation
Investment;product development;product development
Performance;performance management;performance management
Performance;key performance indicators;key performance indicators
Performance;responsibility centre;responsibility centre
Performance;economic value added;economic value added
Performance;balanced scorecard;balanced scorecard
Performance;equity incentive;equity incentive
Performance;performance appraisal;performance appraisal
Performance;and incentive management;incentive management
Performance;performance evaluation;performance evaluation
Performance;performance assessment;performance assessment
Performance;performance indicators;performance indicators
Performance;organisational performance;organisational performance
Performance;performance objectives;performance objectives
Performance;job performance;job performance
Performance;performance;performance
Performance;target management;target management
Performance;evaluation;evaluation
Performance;assessment;assessment
Performance;evaluation system;evaluation system
Performance;assessment scheme;assessment scheme
Performance;assessment objectives;assessment objectives
Performance;key performance evaluation;key performance evaluation
Performance;assessment indicator;assessment indicator
Performance;employee performance;employee performance
Performance;comprehensive performance;comprehensive performance
Performance;work performance;work performance
Performance;assessment management;assessment management
Performance;incentive;incentive
Performance;training management;training management
Performance;salary management;salary management
Performance;salary incentive;salary incentive
Performance;pay performance;pay performance
Performance;compensation system;compensation system
Performance;assessment system;assessment system
Performance;staff training;staff training
Performance;staff appraisal;staff appraisal
Performance;assessment mechanism;assessment mechanism
Performance;performance incentive;performance incentive
Performance;equity incentive plan;equity incentive plan
Performance;motivation;motivation
Performance;employee stock ownership plan;stock ownership plan
Performance;option based payment;option based payment
Performance;option incentive;option incentive
Performance;stock incentive plan;stock incentive plan
Performance;employee stock ownership;employee stock ownership
Performance;stock appreciation right;stock appreciation right
Performance;share repurchase;share repurchase
Performance;stock repurchase;stock repurchase
Performance;equity incentive mechanism;equity incentive mechanism
Performance;share buyback;share buyback
Performance;rights issue;rights issue
Performance;incentive mechanism;incentive mechanism
Performance;seasoned equity offering;seasoned equity offering
Performance;incentive system;incentive system
Performance;buyback;buyback
Performance;cost centre;cost centre
Performance;profit centre;profit centre
Performance;expense centre;expense centre
Performance;budget unit;budget unit
Performance;departmental unit;departmental unit
Performance;division of labour;division of labour
Performance;management responsibility system;management responsibility system
Risk;risk management;risk management
Risk;risk identification;risk identification
Risk;risk control;risk control
Risk;"
total risk management";"
total risk management"
Risk;risk;risk
Risk;internal control management;internal control management
Risk;operational risk;operational risk
Risk;risk monitoring;risk monitoring
Risk;risk prevention and control;risk prevention control
Risk;risk prevention;risk prevention
Risk;risk management system;risk management system
Risk;liquidity risk;liquidity risk
Risk;internal risk control;internal risk control
Risk;credit management;credit management
Risk;risk management department;risk management department
Risk;risk management committee;risk management committee
Risk;system construction;system construction
