Variable_name;LSEG_code
Revenue from Business Activities;TR.F.TOTREVENUE
EBIT;TR.F.EBIT
EBITDA;TR.F.EBITDA
Gross Margin;TR.F.GrossProfMarg
EBITDA Margin;TR.F.EBITDAMARGPCT
Operating Margin;TR.F.OpMargPct
Net Margin;TR.F.IncAfterTaxMargPct
Net Income before Minority Interest;TR.F.NetIncBefMinIntr
Income before Discontinued Operations & Extraordinary Items;TR.F.IncBefDiscOpsExordItems
Income before Tax Margin;TR.F.INCBEFTAXMARGPCTTTM
Income Tax Rate;TR.F.INCTAXRATEPCT
Cost of Operating Revenue;TR.F.COSTOFOPREV
Cost of Revenues ;TR.F.COGS
Cost of Revenues  excl. Deoreciation;TR.F.COGSExclDepr
Sales per Employee;TR.F.SalesPerEmpTTM
Selling, General & Administrative Expenses;TR.F.SGATOT
Labor & Related Expenses in SGA;TR.F.LABORRELEXPNINCLSTOCKBASEDCOMPINSGA
Financing Income/Expense;TR.F.FININCEXPNNETTOT
Interest Expense;TR.F.INTREXPNNETOFINTRINC
Non-Recurring Income/Expense;TR.F.NONRECURINCEXPNTOT
Sale & Acquisition of Group Companies;TR.F.SALEACQOFGROUPCOGL
Stock-Based Compensation Expense - Net of Tax;TR.F.STOCKBASEDCOMPEXPNNETOFTAXSUPPL
R&D Expense;TR.F.RnD
Other Comprehensive Income;TR.F.OTHCOMPRINCNETOFTAXTOT
Net Cash Flow from Operating Activities;TR.F.NETCASHFLOWOP
Net Cash Flow from Investing Activities;TR.F.NETCASHFLOWINVST
Net Cash Flow from Financing Activities;TR.F.NetCashFlowFin
Depreciation, Depletion & Armotization incl. Impairment - Cash Flow;TR.F.DEPRDEPLAMORTINCLIMPAIRCF
Capital Expenditures - Net Cash Flow;TR.F.CAPEXNETCF
Working Capital Increase/Decrease Cash Flow;TR.F.WKGCAPCF
Acquisitions & Disposals of Business Cash Flow;TR.F.ACQDISPOFBIZASSETSSOLDACQNETCF
Investments excl. Loan Cash Flow;TR.F.INVSTSECSOLDPURCHNETTOTCF
Dividend Paid Cash Flow;TR.F.DIVPAIDCASHTOTCF
Stock Issuance/Retirement Cash Flow;TR.F.STOCKTOTISSUANCERETNETCF
Debt Long- & Short-Term Issuance/Retirement;TR.F.DEBTLTSTISSUANCERETTOTCF
Net Change in Cash;TR.F.NETCHGINCASHTOT
Free Cash Flow Net of Dividend;TR.F.FOCF
Free Cash Flow Yield;TR.F.FOCFYLDPCTTTM
Current Liabilities;TR.F.TOTCURRLIAB
Non-current Liabilities;TR.F.TOTNONCURRLIAB
Total Liabilities;TR.F.TOTLIAB
Working Capital;TR.F.WKGCAP
Total Assets;TR.F.TOTASSETS
Debt;TR.F.DEBTTOT
Company Market Cap;TR.CompanyMarketCap
Market Capitalization;TR.F.MktCap
Common Equity;TR.F.COMEQTOT
Total Shareholders' Equity;TR.F.TOTSHHOLDEQ
Total Debt Percentage of Total Equity;TR.F.TotDebtPctofTotEq
Total Debt Percentage of Total Assets;TR.F.TOTDEBTPCTOFTOTASSETS
Total Debt Percentage of Total Capital;TR.F.TOTDEBTPCTOFTOTCAP
Cash & Cash Equivalents;TR.F.CASHCASHEQUIV
Cash & Short-Term Investments;TR.F.CASHSTINVST
Loan & Receivables - Net;TR.F.LOANSRCVBLNETST
Inventories;TR.F.INVNTTOT
Average Inventory Days;TR.F.AvgInvntDays
Inventory Turnover;TR.F.InvntTurnover
Property, Plant & Equipment -Net;TR.F.PPENETTOT
Intangible Assets - Total;TR.F.INTANGTOTNET
Goodwill;TR.F.GOODWCOSTINEXCESSOFASSETSPURCHNET
Goodwill Actual;TR.GoodwillActValue
