Dimension;US_Ranked;Seed_Word;Synonym;Synonyms_adjusted;Similarity_Score
Budgeting/Planning;1;forecasts;industry_reports;industry reports;0.453491628
Budgeting/Planning;4;resource_allocation;allocate_resources;allocate resources;0.496927023
Budgeting/Planning;4;resource_allocation;allocating_resources;allocating resources;0.567703545
Budgeting/Planning;1;forecasts;long_term_projections;long term projections;0.481167942
Budgeting/Planning;4;resource_allocation;allocation_of_resources;allocation of resources;0.607423186
Budgeting/Planning;1;forecasts;operating_forecasts;operating forecasts;0.451276988
Budgeting/Planning;1;forecasts;anticipated_market_conditions;anticipated market conditions;0.487122655
Budgeting/Planning;5;business_planning;budgeting;budgeting;0.433210045
Budgeting/Planning;2;budgeting;budgeting_process;budgeting process;0.465778679
Budgeting/Planning;2;budgeting;budgets;budgets;0.406591803
Budgeting/Planning;5;business_planning;business_decisions;business decisions;0.445988148
Budgeting/Planning;2;budgeting;business_planning;business planning;0.433209956
Budgeting/Planning;1;forecasts;cash_flow_forecasts;cash flow forecasts;0.577299416
Budgeting/Planning;1;forecasts;cash_flow_projections;cash flow projections;0.469102949
Budgeting/Planning;1;forecasts;current_expectations;current expectations;0.553588331
Budgeting/Planning;5;business_planning;decision_making;decision making;0.414365381
Budgeting/Planning;2;budgeting;demand_forecasting;demand forecasting;0.432609975
Budgeting/Planning;1;forecasts;expectations;expectations;0.516027689
Budgeting/Planning;1;forecasts;expectations_of_future;expectations of future;0.486421108
Budgeting/Planning;1;forecasts;external_forecasts;external forecasts;0.489195734
Budgeting/Planning;1;forecasts;financial_forecasts;financial forecasts;0.487131685
Budgeting/Planning;1;forecasts;financial_projections;financial projections;0.591226101
Budgeting/Planning;1;forecasts;forecast;forecast;0.55030179
Budgeting/Planning;1;forecasts;forecasted;forecasted;0.461279333
Budgeting/Planning;2;budgeting;forecasting;forecasting;0.484227568
Budgeting/Planning;2;budgeting;forecasting_future_periods;forecasting future periods;0.517300189
Budgeting/Planning;2;budgeting;forecasting_process;forecasting process;0.476451933
Budgeting/Planning;2;budgeting;forecasting_purposes;forecasting purposes;0.486889273
Budgeting/Planning;1;forecasts;forecasts_of_future;forecasts of future;0.455386013
Budgeting/Planning;1;forecasts;future_economic_conditions;future economic conditions;0.464599729
Budgeting/Planning;4;resource_allocation;goal_setting;goal setting;0.512519956
Budgeting/Planning;2;budgeting;internal_budgeting;internal budgeting;0.416866153
Budgeting/Planning;1;forecasts;internal_estimates;internal estimates;0.492913753
Budgeting/Planning;1;forecasts;internal_forecasts;internal forecasts;0.597026348
Budgeting/Planning;1;forecasts;internal_projections;internal projections;0.511131763
Budgeting/Planning;1;forecasts;market_expectations;market expectations;0.470270216
Budgeting/Planning;1;forecasts;operational_budgets;operational budgets;0.47968626
Budgeting/Planning;1;forecasts;projections;projections;0.728096962
Budgeting/Planning;1;forecasts;projections_of_future;projections of future;0.517927349
Budgeting/Planning;4;resource_allocation;resource_allocation_decisions;resource allocation decisions;0.432050943
Budgeting/Planning;5;business_planning;succession_planning;succession planning;0.433629781
Budgeting/Planning;5;scorecard;economic_scenarios;economic scenarios;0.386976779
Budgeting/Planning;1;forecasts;forecasts;forecasts;1
Budgeting/Planning;3;planning;planning;planning;1
Budgeting/Planning;4;resource_allocation;resource_allocation;resource allocation;1
Cost;1;allocation_of_costs;allocation_of_costs;allocation of costs;1
Cost;1;allocation_of_costs;allocation_of_expenses;allocation of expenses;0.362313718
Cost;1;allocation_of_costs;cost_allocations;cost allocations;0.326299399
Cost;3;cost_structure;expense_base;expense base;0.529793978
Cost;5;historical_cost_accounting;use_historical_cost_accounting;use historical cost accounting;0.356285661
Cost;1;allocation_of_costs;cost_allocation;cost allocation;0.35890305
Cost;2;cost_management;cost_containment;cost containment;0.531213641
Cost;4;cost_control;cost_control;cost control;1
Cost;2;cost_management;cost_controls;cost controls;0.563551426
Cost;2;cost_management;cost_discipline;cost discipline;0.522106111
Cost;2;cost_management;cost_management;cost management;1
Cost;3;cost_structure;cost_position;cost position;0.516149819
Cost;3;cost_structure;cost_reduction;cost reduction;0.447710991
Cost;3;cost_structure;cost_reduction_efforts;cost reduction efforts;0.453675598
Cost;3;cost_structure;cost_reductions;cost reductions;0.463533133
Cost;3;cost_structure;cost_structure;cost structure;1
Cost;2;cost_management;disciplined_cost_management;disciplined cost management;0.513583481
Cost;2;cost_management;disciplined_expense_management;disciplined expense management;0.493830532
Cost;2;cost_management;expense_control;expense control;0.501736879
Cost;2;cost_management;expense_management;expense management;0.57626605
Cost;3;cost_structure;fixed_cost_structure;fixed cost structure;0.527813315
Cost;5;historical_cost_accounting;historical_cost_accounting;historical cost accounting;1
Cost;5;historical_cost_accounting;historical_cost_depreciation;historical cost depreciation;0.385879606
Cost;4;cost_control;improving_margins;improving margins;0.505931616
Cost;3;cost_structure;cost_base;cost base;0.674560249
Cost;3;cost_structure;cost_reduction_initiatives;cost reduction initiatives;0.44294703
Cost;2;cost_management;drive_margin_expansion;drive margin expansion;0.493504316
Cost;3;cost_structure;expense_structure;expense structure;0.444541991
Cost;2;cost_management;margin_expansion;margin expansion;0.509024322
Cost;2;cost_management;margin_management;margin management;0.538648844
Cost;3;cost_structure;operating_cost_structure;operating cost structure;0.55394733
