Dimension;Cluster;Seed_words;Synonym;Synonyms_adjusted;Similarity_Score
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];projections;projections;0.66614002
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];internal_forecasts;internal forecasts;0.584651053
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];projection;projection;0.566601813
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];cash_flow_forecasts;cash flow forecasts;0.563421488
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];financial_projections;financial projections;0.539555728
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];forecasted;forecasted;0.538346946
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];internal_estimates;internal estimates;0.520428836
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];projections_of_future;projections of future;0.513151646
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];internal_projections;internal projections;0.505387306
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];current_expectations;current expectations;0.50383836
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];macroeconomic_variables;macroeconomic variables;0.502452493
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];external_forecasts;external forecasts;0.480936557
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];cash_flow_projections;cash flow projections;0.480877101
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];financial_forecasts;financial forecasts;0.475421637
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];forecast_of_future;forecast of future;0.471350193
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];forecasts_of_future;forecasts of future;0.467552662
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];anticipated_market_conditions;anticipated market conditions;0.467414409
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];extrapolation;extrapolation;0.486385882
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];forecast;forecast;0.819707751
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];forecasting;forecasting;0.505371153
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];forecasting_process;forecasting process;0.477216542
Budgeting/Planning;1;['forecasts', 'forecasting_process', 'forecast', 'extrapolation'];forecasts;forecasts;0.837747872
Budgeting/Planning;2;['budgeting', 'budgeting_process'];budgeting;budgeting;0.919401348
Budgeting/Planning;2;['budgeting', 'budgeting_process'];budgeting_process;budgeting process;0.776287436
Budgeting/Planning;2;['budgeting', 'budgeting_process'];forecasting_future_periods;forecasting future periods;0.543303072
Budgeting/Planning;2;['budgeting', 'budgeting_process'];internal_budgeting;internal budgeting;0.426114261
Budgeting/Planning;2;['budgeting', 'budgeting_process'];demand_forecasting;demand forecasting;0.405920476
Budgeting/Planning;2;['budgeting', 'budgeting_process'];budgets;budgets;0.403321445
Budgeting/Planning;2;['budgeting', 'budgeting_process'];forecasting_of_future;forecasting of future;0.400731713
Budgeting/Planning;2;['budgeting', 'budgeting_process'];forecasting_purposes;forecasting purposes;0.553314924
Budgeting/Planning;3;['planning', 'planning_process'];planning_processes;planning processes;0.502950549
Budgeting/Planning;3;['planning', 'planning_process'];operating_budget;operating budget;0.44763419
Budgeting/Planning;3;['planning', 'planning_process'];planning;planning;0.894073069
Budgeting/Planning;3;['planning', 'planning_process'];planning_process;planning process;0.751654446
Budgeting/Planning;5;['business_planning'];business_decisions;business decisions;0.445988148
Budgeting/Planning;5;['business_planning'];business_planning;business planning;1
Budgeting/Planning;5;['business_planning'];succession_planning;succession planning;0.433629781
Budgeting/Planning;4;['resource_allocation'];allocating_resources;allocating resources;0.567703545
Budgeting/Planning;4;['resource_allocation'];decision_making;decision making;0.492860407
Budgeting/Planning;4;['resource_allocation'];resource_allocation;resource allocation;0.999999881
Budgeting/Planning;4;['resource_allocation'];allocation_of_resources;allocation of resources;0.607423127
Budgeting/Planning;4;['resource_allocation'];goal_setting;goal setting;0.512519956
Budgeting/Planning;4;['resource_allocation'];allocate_resources;allocate resources;0.496927023
Budgeting/Planning;4;['resource_allocation'];resource_allocation_decisions;resource allocation decisions;0.432050914
Budgeting/Planning;3;['bottlenecks', 'operating_cycle', 'operational_planning'];planning_cycle;planning cycle;0.362534821
Budgeting/Planning;2;['operations_management', 'operational_decision_making', 'operational_management'];budgeting_purposes;budgeting purposes;0.545679748
Budgeting/Planning;2;['product_pricing', 'value_pricing', 'premium_pricing', 'market_pricing', 'dynamic_pricing'];future_market_conditions;future market conditions;0.455740988
Cost;1;['cost_allocation', 'cost_drivers', 'allocation_of_costs', 'cost_center', 'activity_costs'];allocation_of_costs;allocation of costs;0.735151649
Cost;1;['cost_allocation', 'cost_drivers', 'allocation_of_costs', 'cost_center', 'activity_costs'];recovery_of_costs;recovery of costs;0.375357836
Cost;1;['cost_allocation', 'cost_drivers', 'allocation_of_costs', 'cost_center', 'activity_costs'];depreciation_rates;depreciation rates;0.369370788
Cost;1;['cost_allocation', 'cost_drivers', 'allocation_of_costs', 'cost_center', 'activity_costs'];depreciation_rate;depreciation rate;0.35760501
Cost;1;['cost_allocation', 'cost_drivers', 'allocation_of_costs', 'cost_center', 'activity_costs'];cost_drivers;cost drivers;1
Cost;1;['cost_allocation', 'cost_drivers', 'allocation_of_costs', 'cost_center', 'activity_costs'];activity_costs;activity costs;1
Cost;1;['cost_allocation', 'cost_drivers', 'allocation_of_costs', 'cost_center', 'activity_costs'];cost_allocation;cost allocation;0.726053298
Cost;1;['cost_allocation', 'cost_drivers', 'allocation_of_costs', 'cost_center', 'activity_costs'];cost_center;cost center;0.404111177
Cost;2;['cost_management'];cost_containment;cost containment;0.531213641
Cost;2;['cost_management'];cost_discipline;cost discipline;0.522106111
Cost;2;['cost_management'];cost_management;cost management;1
Cost;2;['cost_management'];cost_reduction;cost reduction;0.491807878
Cost;2;['cost_management'];cost_reductions;cost reductions;0.491212159
Cost;2;['cost_management'];disciplined_cost_management;disciplined cost management;0.513583481
Cost;2;['cost_management'];cost_reduction_efforts;cost reduction efforts;0.514760435
Cost;2;['cost_management'];disciplined_expense_management;disciplined expense management;0.493830532
Cost;2;['cost_management'];expense_management;expense management;0.57626605
Cost;2;['cost_management'];margin_expansion;margin expansion;0.509024322
Cost;2;['cost_management'];margin_management;margin management;0.538648844
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];cost_structure;cost structure;1
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];direct_costs;direct costs;0.669656157
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];fixed_costs;fixed costs;0.718024909
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];incremental_costs;incremental costs;0.699653625
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];indirect_costs;indirect costs;0.639784932
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];distribution_costs;distribution costs;0.617107451
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];variable_costs;variable costs;0.609445751
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];material_costs;material costs;0.590013027
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];payroll_costs;payroll costs;0.583912194
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];operating_costs;operating costs;0.582448363
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];administrative_costs;administrative costs;0.582019866
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];supply_chain_costs;supply chain costs;0.579478264
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];manufacturing_costs;manufacturing costs;0.576626241
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];marketing_costs;marketing costs;0.571584404
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];support_costs;support costs;0.566477478
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];operating_expenses;operating expenses;0.561994791
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];overhead_expenses;overhead expenses;0.561705291
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];employee_costs;employee costs;0.561090469
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];facility_costs;facility costs;0.558147788
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];transportation_expenses;transportation expenses;0.557109654
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];it_costs;it costs;0.55675143
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];freight_costs;freight costs;0.547485828
Cost;3;['cost_structure', 'variable_cost', 'cost_elements', 'marginal_cost', 'fixed_costs', 'fixed_cost', 'direct_cost', 'indirect_costs', 'incremental_costs', 'incremental_cost', 'specific_costs', 'discretionary_costs', 'direct_costs', 'overhead_costs'];infrastructure_costs;infrastructure costs;0.544431508
