Dimension;Ranking_Overall;Ranking_US;Seed_word_adjusted;Seed_word_final
Budgeting/Planning;2;1;forecasts;forecasts
Budgeting/Planning;2;1;forecasting process;forecasting_process
Budgeting/Planning;2;1;forecast;forecast
Budgeting/Planning;2;1;extrapolation;extrapolation
Budgeting/Planning;1;2;budgeting;budgeting
Budgeting/Planning;1;2;budgeting process;budgeting_process
Budgeting/Planning;3;3;planning;planning
Budgeting/Planning;3;3;planning process;planning_process
Budgeting/Planning;5;4;resource allocation;resource_allocation
Budgeting/Planning;4;5;business planning;business_planning
Cost;1;1;cost allocation;cost_allocation
Cost;1;1;cost drivers;cost_drivers
Cost;1;1;allocation of costs;allocation_of_costs
Cost;1;1;cost center;cost_center
Cost;1;1;activity costs;activity_costs
Cost;3;2;cost management;cost_management
Cost;2;3;cost structure;cost_structure
Cost;2;3;variable cost;variable_cost
Cost;2;3;cost elements;cost_elements
Cost;2;3;marginal cost;marginal_cost
Cost;2;3;fixed costs;fixed_costs
Cost;2;3;fixed cost;fixed_cost
Cost;2;3;direct cost;direct_cost
Cost;2;3;indirect costs;indirect_costs
Cost;2;3;incremental costs;incremental_costs
Cost;2;3;incremental cost;incremental_cost
Cost;2;3;specific costs;specific_costs
Cost;2;3;discretionary costs;discretionary_costs
Cost;2;3;direct costs;direct_costs
Cost;2;3;overhead costs;overhead_costs
Cost;4;4;cost control;cost_control
Cost;9;5;cost accounting;cost_accounting
Cost;9;5;historical cost accounting;historical_cost_accounting
Financing/Investment;1;1;cash flow analysis;cash_flow_analysis
Financing/Investment;3;2;roi;roi
Financing/Investment;3;2;value analysis;value_analysis
Financing/Investment;3;2;roce;roce
Financing/Investment;3;2;return on capital employed;return_on_capital_employed
Financing/Investment;3;2;irr;irr
Financing/Investment;3;2;internal rate of return;internal_rate_of_return
Financing/Investment;3;2;return of investment;return_of_investment
Financing/Investment;4;3;capital budget;capital_budget
Financing/Investment;4;3;capital allocation;capital_allocation
Financing/Investment;4;3;capex;capex
Financing/Investment;2;4;financial planning;financial_planning
Financing/Investment;5;5;cost benefit analysis;cost_benefit_analysis
